issue,page_number,scan_rel_path,docx_tables,old_findings,new_findings,category
1966_01,28,1966/01/IMG_0017_2R.jpg,2,2,2,согласие
1966_01,49,1966/01/IMG_0028_1L.jpg,1,2,2,согласие
1966_01,50,1966/01/IMG_0028_2R.jpg,1,1,1,согласие
1966_01,51,1966/01/IMG_0029_1L.jpg,1,1,1,согласие
1966_01,52,1966/01/IMG_0029_2R.jpg,1,1,1,согласие
1966_01,76,1966/01/IMG_0042_2R.jpg,1,2,2,согласие
1966_01,77,1966/01/IMG_0043_1L.jpg,0,1,1,пропуск FineReader
1966_01,78,1966/01/IMG_0043_2R.jpg,1,1,1,согласие
1966_01,79,1966/01/IMG_0044_1L.jpg,0,1,1,пропуск FineReader
1966_01,80,1966/01/IMG_0044_2R.jpg,1,1,1,согласие
1966_01,86,1966/01/IMG_0047_2R.jpg,1,1,1,согласие
1966_01,88,1966/01/IMG_0048_2R.jpg,0,1,0,убранный шум
1966_01,96,1966/01/IMG_0052_2R.jpg,0,2,0,убранный шум
1966_01,97,1966/01/IMG_0053_1L.jpg,0,1,0,убранный шум
1966_02,14,1966/02/IMG_0061_2R.jpg,1,1,1,согласие
1966_02,16,1966/02/IMG_0062_2R.jpg,1,1,1,согласие
1966_02,46,1966/02/IMG_0077_2R.jpg,1,1,1,согласие
1966_02,47,1966/02/IMG_0078_1L.jpg,1,1,1,согласие
1966_02,50,1966/02/IMG_0079_2R.jpg,1,1,1,согласие
1966_02,54,1966/02/IMG_0081_2R.jpg,1,1,1,согласие
1966_02,56,1966/02/IMG_0082_2R.jpg,4,0,0,оба не увидели
1966_02,57,1966/02/IMG_0083_1L.jpg,1,1,1,согласие
1966_02,58,1966/02/IMG_0083_2R.jpg,1,1,1,согласие
1966_02,62,1966/02/IMG_0085_2R.jpg,1,1,1,согласие
1966_02,68,1966/02/IMG_0088_2R.jpg,0,1,1,пропуск FineReader
1966_02,79,1966/02/IMG_0094_1L.jpg,1,1,1,согласие
1966_02,80,1966/02/IMG_0094_2R.jpg,0,1,1,пропуск FineReader
1966_02,81,1966/02/IMG_0095_1L.jpg,0,1,0,убранный шум
1966_02,95,1966/02/IMG_0102_1L.jpg,0,1,1,пропуск FineReader
1966_03,16,1966/03/IMG_0112_2R.jpg,1,1,1,согласие
1966_03,19,1966/03/IMG_0114_1L.jpg,0,1,1,пропуск FineReader
1966_03,20,1966/03/IMG_0114_2R.jpg,1,0,0,оба не увидели
1966_03,33,1966/03/IMG_0121_1L.jpg,0,1,1,пропуск FineReader
1966_03,34,1966/03/IMG_0121_2R.jpg,1,1,1,согласие
1966_03,35,1966/03/IMG_0122_1L.jpg,0,1,0,убранный шум
1966_03,36,1966/03/IMG_0122_2R.jpg,1,1,1,согласие
1966_03,37,1966/03/IMG_0123_1L.jpg,0,1,0,убранный шум
1966_03,59,1966/03/IMG_0134_1L.jpg,1,1,1,согласие
1966_03,79,1966/03/IMG_0144_1L.jpg,1,1,1,согласие
1966_03,80,1966/03/IMG_0144_2R.jpg,0,1,1,пропуск FineReader
1966_03,81,1966/03/IMG_0145_1L.jpg,0,1,1,пропуск FineReader
1966_03,96,1966/03/IMG_0152_2R.jpg,0,1,0,убранный шум
1966_04,29,1966/04/IMG_0018_1L.jpg,1,1,1,согласие
1966_04,45,1966/04/IMG_0026_1L.jpg,1,1,1,согласие
1966_04,56,1966/04/IMG_0031_2R.jpg,2,2,2,согласие
1966_04,69,1966/04/IMG_0038_1L.jpg,1,1,1,согласие
